id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,20,170,12.208893276326446,1.6326540035420818,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
,,15 m,5 m,4,11,-0.3677958904648271,-0.755688201214829,0.4508819572457212,,,
,,15 m,7.5 m,4,11,0.5831223032281341,1.1981064928643013,0.23254324289607875,,,
,,15 m,0 min,4,10,1.9161008414959617,3.8854327799899897,0.0001461389027597182,,,
,,20 m,2.5 m,4,11,-0.6603549734288128,-1.3567918374591192,0.17664626853200116,,,
,,20 m,5 m,4,11,-0.5532021665156546,-1.136631378871646,0.25729208755357247,,,
,,20 m,7.5 m,4,11,0.3977160271773066,0.8171633152074843,0.41497883216177067,,,
,,20 m,0 min,4,10,1.7306945654451342,3.509469465855995,0.0005747756747631616,,,
,,0 min,2.5 m,12,11,-2.3852099288605766,-6.854956710056789,1.2597900500566084e-10,,,
,,0 min,5 m,12,11,-2.2780571219474184,-6.5470056807309716,6.67081501148914e-10,,,
,,0 min,7.5 m,12,11,-1.3271389282544572,-3.8141212609161683,0.00019098711814713454,,,
,,0 min,0 min,12,10,0.005839610013370376,0.0163613143045534,0.9869653283791133,,,
,,2.5 m,5 m,11,11,0.1071528069131582,0.30146712359760275,0.7634267583421925,,,
,,2.5 m,7.5 m,11,11,1.0580710006061194,2.9768106903002156,0.0033378842537314934,,,
,,2.5 m,10 m,11,12,1.3580408461584033,3.902931602901652,0.00013677312857840462,,,
,,2.5 m,15 m,11,12,1.312926172759792,3.7732746157350907,0.00022226332977615115,,,
,,2.5 m,20 m,11,12,1.6474879206554167,4.734785915397091,4.599671615590495e-06,,,
,,2.5 m,0 min,11,10,2.391049538873947,6.564933477565047,6.060896229342916e-10,,,
,,2.5 m,2.5 m,11,12,-0.4633245320117334,-1.331568165643589,0.18478483175294835,,,
,,2.5 m,5 m,11,12,-0.039202984971617116,-0.11266713325053856,0.910427389946767,,,
,,2.5 m,7.5 m,11,12,0.03239418893593182,0.09309904345371078,0.9259345046179448,,,
,,2.5 m,10 m,11,12,0.6137998466358086,1.7640256006052832,0.07952382911319522,,,
,,2.5 m,15 m,11,12,1.1650853609039873,3.348388590824354,0.0010009715887502324,,,
,,2.5 m,20 m,11,12,1.4948873105729503,4.296220503025495,2.9163412863963956e-05,,,
,,5 m,7.5 m,11,11,0.9509181936929612,2.6753435667026126,0.008194941786368926,,,
,,5 m,10 m,11,12,1.250888039245245,3.594980573575835,0.00042479863111721805,,,
,,5 m,15 m,11,12,1.2057733658466339,3.4653235864092737,0.000670450170247916,,,
,,5 m,20 m,11,12,1.5403351137422585,4.426834886071274,1.7050241177596348e-05,,,
,,5 m,0 min,11,10,2.283896731960789,6.270731689654562,2.869042781128428e-09,,,
,,5 m,2.5 m,11,12,-0.5704773389248916,-1.639519194969406,0.10295438477250962,,,
,,5 m,5 m,11,12,-0.14635579188477532,-0.42061816257635554,0.6745651514979407,,,
,,5 m,7.5 m,11,12,-0.07475861797722638,-0.21485198587210622,0.8301402414203172,,,
,,5 m,10 m,11,12,0.5066470397226503,1.4560745712794663,0.14721634553197305,,,
,,5 m,15 m,11,12,1.057932553990829,3.040437561498537,0.0027364552643101003,,,
,,5 m,20 m,11,12,1.3877345036597921,3.9882694736996784,9.87105125316301e-05,,,
,,7.5 m,10 m,11,12,0.2999698455522839,0.8620961537610317,0.3898490536513781,,,
,,7.5 m,15 m,11,12,0.2548551721536727,0.7324391665944704,0.46490918784868107,,,
,,7.5 m,20 m,11,12,0.5894169200492972,1.6939504662564702,0.09210602060165352,,,
,,7.5 m,0 min,11,10,1.3329785382678276,3.659863707747094,0.0003364955730811303,,,
,,7.5 m,2.5 m,11,12,-1.5213955326178528,-4.37240361478421,2.135404158543075e-05,,,
,,7.5 m,5 m,11,12,-1.0972739855777365,-3.153502582391159,0.0019076590079614153,,,
,,7.5 m,7.5 m,11,12,-1.0256768116701875,-2.9477364056869093,0.0036512554946719344,,,
,,7.5 m,10 m,11,12,-0.4442711539703108,-1.276809848535337,0.2034106781396463,,,
,,7.5 m,15 m,11,12,0.10701436029786793,0.3075531416837334,0.7587988386131232,,,
,,7.5 m,20 m,11,12,0.43681630996683096,1.255385053884875,0.21106185862296756,,,
,,10 m,0 min,12,10,1.0330086927155437,2.8942651756123134,0.004298978493068484,,,
,,10 m,10 m,12,12,-0.7442409995225947,-2.1869773078712895,0.030109958422880112,,,
,,15 m,0 min,12,10,1.078123366114155,3.020666656110483,0.002911693513879321,,,
,,20 m,0 min,12,10,0.7435616182185304,2.0832975682659023,0.0387204094281437,,,
,,0 min,2.5 m,10,12,-2.8543740708856804,-7.997333933190889,1.8740564655672642e-13,,,
,,0 min,5 m,10,12,-2.430252523845564,-6.809037810920942,1.6194645624523218e-10,,,
,,0 min,7.5 m,10,12,-2.358655349938015,-6.608438136809642,4.799811659239595e-10,,,
,,0 min,10 m,10,12,-1.7772496922381384,-4.979466222196628,1.5554028687247978e-06,,,
,,0 min,15 m,10,12,-1.2259641779699597,-3.4348843837112852,0.0007449109407031695,,,
,,0 min,20 m,10,12,-0.8961622283009967,-2.510851212928693,0.01297757908392394,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
