id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,20,170,14.890603554142269,1.6326540035420818,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
,,7.5 m,20 m,12,11,0.5697434068681905,2.6340487568062305,0.009216106454946082,,,
,,7.5 m,0 min,12,11,0.5509106892107348,2.546980971668385,0.011752945655318037,,,
,,7.5 m,2.5 m,12,11,-1.8386434089176595,-8.500451829870796,9.325873406851315e-15,,,
,,7.5 m,5 m,12,11,-1.004681348272448,-4.64486227396693,6.78655389130256e-06,,,
,,10 m,20 m,12,11,0.35545568010944945,1.6433495868581727,0.10215885384343015,,,
,,10 m,0 min,12,11,0.33662296245199375,1.5562818017203266,0.12150079369977074,,,
,,10 m,2.5 m,12,11,-2.052931135676401,-9.491150999818855,0.0,,,
,,10 m,5 m,12,11,-1.2189690750311888,-5.6355614439149875,7.115555256120842e-08,,,
,,10 m,10 m,12,12,-0.6802231892037002,-3.2154999872946335,0.0015587198061708385,,,
,,15 m,20 m,12,11,0.374150358672266,1.729779186979322,0.0854847349514265,,,
,,15 m,0 min,12,11,0.3553176410148103,1.642711401841476,0.10229105426925611,,,
,,15 m,2.5 m,12,11,-2.0342364571135843,-9.404721399697706,0.0,,,
,,15 m,5 m,12,11,-1.2002743964683724,-5.549131843793839,1.0834372710100126e-07,,,
,,20 m,0 min,11,11,-0.01883271765745569,-0.08523457382488442,0.9321752020587657,,,
,,20 m,2.5 m,11,11,-2.40838681578585,-10.900063792317827,0.0,,,
,,20 m,5 m,11,11,-1.5744247551406383,-7.1256536345211785,2.815614408291367e-11,,,
,,20 m,7.5 m,11,12,-1.1211825916102185,-5.18347307925393,6.123633140564522e-07,,,
,,20 m,10 m,11,12,-1.0356788693131496,-4.78817061378634,3.6423490383796775e-06,,,
,,20 m,15 m,11,12,-0.6597007756805374,-3.049941407127923,0.00265572505086209,,,
,,20 m,20 m,11,12,-0.4663302513458965,-2.1559470526755393,0.03249363821356854,,,
,,0 min,2.5 m,11,11,-2.3895540981283943,-10.81482921849294,0.0,,,
,,0 min,5 m,11,11,-1.5555920374831826,-7.040419060696294,4.5275783122633584e-11,,,
,,0 min,7.5 m,11,12,-1.1023498739527628,-5.096405294116084,9.143676225065178e-07,,,
